time,channel_idx
47419.4,125
47419.9,185
47420.0,239
47420.200000000004,226
47420.3,182
47420.3,195
47420.4,7
47420.8,189
47421.1,45
47421.200000000004,100
47421.5,103
47421.5,229
47421.6,186
47421.6,220
47421.8,71
47421.8,171
47422.0,240
47422.200000000004,239
47422.3,188
47422.3,230
47422.5,1
47422.5,4
47422.6,182
47422.6,202
47422.700000000004,195
47422.8,219
47422.9,150
47423.4,45
47423.6,54
47423.8,186
47423.9,125
47424.0,171
47424.1,71
47424.200000000004,229
47424.3,7
47424.5,240
47424.700000000004,65
47424.8,1
47425.1,100
47425.200000000004,219
47425.4,103
47425.4,195
47425.5,182
47425.6,45
47425.9,150
47426.0,54
47426.200000000004,125
47426.200000000004,220
47426.3,229
47426.4,83
47426.4,86
47426.5,87
47426.700000000004,4
47426.700000000004,230
47426.8,89
47426.8,240
47427.0,65
47427.0,71
47427.9,182
47428.1,100
47428.200000000004,195
47428.4,8
47428.4,150
47428.8,45
47428.8,189
47428.9,86
47429.0,1
47429.0,171
47429.0,185
47429.0,193
47429.1,71
47429.1,84
47429.1,97
47429.1,107
47429.1,240
47429.3,125
47429.3,230
47429.5,54
47429.700000000004,229
47429.8,89
47429.9,93
47430.1,59
47430.200000000004,100
47430.3,103
47430.3,195
47430.4,7
47430.4,65
47430.5,150
47431.1,220
47431.3,1
47431.3,45
47431.5,182
47431.6,193
47431.700000000004,97
47431.8,240
47431.9,71
47431.9,171
47431.9,229
47432.4,54
47432.5,93
47432.700000000004,4
47433.0,186
47433.200000000004,195
47433.4,1
47433.4,189
47433.5,45
47433.5,230
47433.8,220
47433.9,150
47433.9,164
47434.3,65
47434.3,100
47434.6,46
47434.8,54
47434.8,193
47434.8,240
47435.4,182
47435.6,195
47435.8,1
47435.8,229
47436.1,45
47436.200000000004,7
47436.700000000004,220
47436.700000000004,230
47437.0,54
47437.200000000004,239
47437.3,193
47437.4,240
47437.5,182
47437.700000000004,189
47437.9,195
47438.0,4
47438.1,185
47438.200000000004,229
47438.5,171
47438.6,1
47438.8,202
47438.8,220
47438.9,186
47439.6,7
47439.700000000004,193
47439.8,150
47439.8,240
47439.9,189
47440.0,182
47440.1,197
47440.200000000004,188
47440.4,54
47440.5,100
47440.6,107
47440.700000000004,1
47441.0,97
47441.1,59
47441.1,171
47441.1,195
47441.200000000004,42
47441.3,229
47441.3,230
47441.5,71
47441.8,7
47441.9,150
47442.0,87
47442.0,220
47442.200000000004,4
47442.5,45
47442.6,54
47442.700000000004,8
47442.700000000004,193
47442.8,1
47442.8,125
47442.9,240
47443.200000000004,195
47443.3,100
47443.3,182
47443.4,84
47443.6,230
47443.8,189
47444.0,65
47444.0,71
47444.1,150
47444.200000000004,229
47444.3,171
47444.3,239
47444.4,59
47444.700000000004,54
47444.8,49
47445.3,7
47445.3,195
47445.4,1
47445.700000000004,45
47446.1,125
47446.200000000004,71
47446.4,65
47446.5,182
47446.5,220
47446.700000000004,52
47446.9,49
47446.9,54
47446.9,150
47447.0,59
47447.4,240
47447.5,1
47447.5,12
47447.5,46
47447.6,195
47447.700000000004,189
47447.700000000004,193
47447.8,41
47447.8,229
47448.0,7
47448.0,45
47448.1,4
47448.3,71
47448.8,182
47448.9,230
47449.0,65
47449.0,125
47449.5,240
47449.6,54
47450.0,46
47450.200000000004,193
47450.200000000004,195
47450.3,189
47450.700000000004,1
47450.700000000004,186
47450.8,4
47450.8,45
47450.8,71
47450.8,93
47451.3,182
47451.6,97
47451.6,229
47451.9,100
47451.9,171
47451.9,240
47452.1,230
47452.200000000004,54
47452.3,107
47452.3,125
47452.5,195
47452.8,193
47452.8,239
47453.0,7
47453.0,87
47453.200000000004,84
47453.3,189
47453.3,220
47453.4,197
47453.6,1
47453.6,45
47453.6,71
47454.0,97
47454.1,171
47454.200000000004,100
47454.200000000004,188
47454.4,230
47454.5,54
47454.5,125
47454.5,150
47454.6,65
47454.700000000004,59
47454.700000000004,98
47454.9,182
47455.0,6
47455.200000000004,195
47455.3,164
47455.4,7
